latitud,longitud,property_surface_total,property_surface_covered
-34.5641102,-58.4506134,192.0,165.0
-34.5648238362,-58.4393324486,31.0,30.0
-34.5667503,-58.4359251,184.0,151.0
-34.616363,-58.404565,48.0,46.0
-34.5592387,-58.475559,40.0,40.0
-34.6285407,-58.4382638,68.0,56.0
-34.6050898,-58.4952964,120.0,120.0
-34.5909585,-58.395094,162.0,155.0
-34.6263168,-58.4550161,65.0,55.0
-34.538156,-58.469849,39.0,39.0
-34.5619978,-58.4470058,263.0,263.0
-34.6027605,-58.4620231,39.0,35.0
-34.582049,-58.4471057,63.0,63.0
-34.5736701,-58.4386367,54.0,50.0
-34.6151112,-58.4119412,67.0,67.0
-34.5951856,-58.5190084,72.0,56.0
-34.586636,-58.439412,48.0,45.0
-34.5859262,-58.4177928,63.0,48.0
-34.5957626,-58.3732067,127.0,123.0
-34.6060986,-58.3984742,27.0,27.0
-34.6314953077,-58.3763694763,110.0,110.0
-34.5679945554,-58.430651573,148.0,136.0
-34.6164872,-58.5005107,66.0,62.0
-34.5799282675,-58.4914660233,51.0,46.0
-34.5916243,-58.4086014,32.0,29.0
-34.5939439,-58.3917351,36.0,36.0
-34.5741667,-58.4898344,39.0,36.0
-34.5798253948,-58.4245109471,46.0,41.0
-34.5865626,-58.4124742,85.0,82.0
-34.6070491,-58.5066584,82.0,41.0
-34.5949394,-58.4417772,58.0,58.0
-34.538582203,-58.4705579281,63.0,61.0
-34.575167,-58.421444,392.0,377.0
-34.5941542,-58.4045238,106.0,106.0
-34.5645746,-58.4601604,121.0,41.0
-34.5888594,-58.4299363,394.0,340.0
-34.6008273,-58.3915895,58.0,49.0
-34.6487119,-58.5258101,42.0,42.0
-34.616417,-58.441983,51.0,49.0
-34.6253271,-58.4138724,33.0,30.0
-34.5681243,-58.471432,50.0,50.0
-34.6502513,-58.5111021,84.0,76.0
-34.6183758,-58.3959985,58.0,58.0
-34.5791632,-58.4557246,31.0,26.0
-34.538525146,-58.4666000111,177.0,177.0
-34.5724316,-58.4577464,250.0,210.0
